epoch,loss,accuracy
1,2.6680688858032227,0.263671875
2,1.9198609590530396,0.4541015625
3,1.6214325428009033,0.5380859375
4,1.4475271701812744,0.5634765625
5,1.321654200553894,0.58203125
6,1.2681256532669067,0.6025390625
7,1.1782306432724,0.6259765625
8,1.1453880071640015,0.6357421875
9,1.0789663791656494,0.6572265625
10,1.0407536029815674,0.66015625
11,0.9944667816162109,0.6826171875
12,0.9830681085586548,0.6982421875
13,0.9415210485458374,0.70703125
14,0.9090937376022339,0.70703125
15,0.8802241683006287,0.7197265625
16,0.8453503251075745,0.7275390625
17,0.8440309762954712,0.7275390625
18,0.8059495687484741,0.7490234375
19,0.8087897896766663,0.7333984375
20,0.7674145102500916,0.751953125
21,0.753273069858551,0.76171875
22,0.7363187670707703,0.76171875
23,0.7386206388473511,0.7646484375
24,0.7322303056716919,0.7548828125
25,0.7099343538284302,0.7763671875
26,0.6778528094291687,0.7744140625
27,0.6719024181365967,0.7763671875
28,0.6468964219093323,0.7900390625
29,0.6446534395217896,0.787109375
30,0.6270489692687988,0.7900390625
31,0.6275084018707275,0.787109375
32,0.6068719625473022,0.822265625
33,0.5883642435073853,0.814453125
34,0.5996668934822083,0.8037109375
35,0.5923141241073608,0.802734375
36,0.5675837397575378,0.8076171875
37,0.5478953719139099,0.8154296875
38,0.5726038217544556,0.8056640625
39,0.551244854927063,0.8212890625
40,0.5155398845672607,0.837890625
41,0.505503237247467,0.833984375
42,0.5164803266525269,0.8349609375
43,0.48180267214775085,0.845703125
44,0.4939337968826294,0.8349609375
45,0.5007261037826538,0.830078125
46,0.47506463527679443,0.841796875
47,0.4780706763267517,0.8544921875
48,0.48571354150772095,0.8466796875
49,0.4539320468902588,0.8583984375
50,0.43124645948410034,0.859375
51,0.4503381848335266,0.8544921875
52,0.4418705105781555,0.85546875
53,0.4100039601325989,0.86328125
54,0.4165077209472656,0.8740234375
55,0.4164639115333557,0.857421875
56,0.38615861535072327,0.86328125
57,0.3738195598125458,0.8798828125
58,0.38597023487091064,0.8759765625
59,0.4306609034538269,0.865234375
60,0.37676626443862915,0.8837890625
61,0.40857961773872375,0.8681640625
62,0.3693389892578125,0.8779296875
63,0.3786706030368805,0.8818359375
64,0.33753591775894165,0.89453125
65,0.37066686153411865,0.8779296875
66,0.3759765326976776,0.876953125
67,0.38328683376312256,0.8798828125
68,0.35080432891845703,0.8740234375
69,0.3786439299583435,0.8876953125
70,0.3600393831729889,0.8720703125
71,0.34671536087989807,0.8935546875
72,0.3615824580192566,0.88671875
73,0.35657310485839844,0.8837890625
74,0.36308783292770386,0.8828125
75,0.3600342273712158,0.884765625
76,0.3246830105781555,0.89453125
77,0.3513640761375427,0.8916015625
78,0.33531925082206726,0.8955078125
79,0.3265017867088318,0.890625
80,0.34998324513435364,0.8828125
81,0.32877036929130554,0.896484375
82,0.3158917725086212,0.8994140625
83,0.30160659551620483,0.9033203125
84,0.33023664355278015,0.8974609375
85,0.33886441588401794,0.8876953125
86,0.3526040315628052,0.8837890625
87,0.2951909601688385,0.8994140625
88,0.33124759793281555,0.8818359375
89,0.3319178819656372,0.8876953125
90,0.2873882055282593,0.900390625
